31570190,My 10-mile self-driving drive as @DelphiAuto &amp; @Mobileye team up in the race for #selfdrivingcars… https://t.co/LS3Ibd5OvQ,Sat Dec 10 21:47:00 +0000 2016,2,"[{'expanded_url': 'https://twitter.com/i/web/status/807703185896808448', 'url': 'https://t.co/LS3Ibd5OvQ', 'indices': [103, 126], 'display_url': 'twitter.com/i/web/status/8…'}]","[{'text': 'selfdrivingcars', 'indices': [85, 101]}]",0,,
31570190,RT @Reuters: UPDATE: Iowa Governor Branstad has accepted offer to be U.S. ambassador to China - Trump transition team. https://t.co/Bj4dGaG…,Wed Dec 07 21:09:03 +0000 2016,0,[],[],108,,
31570190,"RT @BernieSanders: The top 10 pharmaceutical executives received over $327 million last year, while 1 in 5 Americans can't afford to fill t…",Wed Dec 07 01:07:43 +0000 2016,0,[],[],8092,,
31570190,"RT @Hadas_Gold: Media Matters is shifting its focus: Less Fox News, more Breitbart, alt-right and fake news/conspiracy theories 
https://t.…",Tue Dec 06 14:21:05 +0000 2016,0,[],[],54,,
31570190,RT @RLiuNFL: Eric Berry scored the NFL's 1st game-winning defensive 2-point conversion with his team trailing https://t.co/SngmyT3gRT,Sun Dec 04 23:56:01 +0000 2016,0,[],[],171,,
31570190,"RT @NFLUK: INCREDIBLE. 

@Falcons go for 2.
⬇
Eric Berry picks off, takes it to the 🏠!
⬇
@Chiefs lead!

#KCvsATL https://t.co/QX6i0UJVXv",Sun Dec 04 21:01:12 +0000 2016,0,"[{'expanded_url': 'http://snpy.tv/2g0pbyw', 'url': 'https://t.co/QX6i0UJVXv', 'indices': [113, 136], 'display_url': 'snpy.tv/2g0pbyw'}]","[{'text': 'KCvsATL', 'indices': [104, 112]}]",33,,
31570190,RT @NeeHaomagazine: Exclusive - Chinese rugby player and Imperial College student Sidney Chan is cleared by the Jury. Nee Hao finds... http…,Sun Dec 04 15:36:29 +0000 2016,0,[],[],1,,
31570190,Sharing economy latest - how to throw a Classical Music Concert in your own home @groupmuse @cctv_america… https://t.co/EiWNOXDLRp,Fri Dec 02 23:01:44 +0000 2016,1,"[{'expanded_url': 'https://twitter.com/i/web/status/804822888150773760', 'url': 'https://t.co/EiWNOXDLRp', 'indices': [107, 130], 'display_url': 'twitter.com/i/web/status/8…'}]",[],0,,
31570190,How did I get a giant rock like this in my hand? Why of course -- grown in a lab @diamondfoundry @cctv_america… https://t.co/epDYfVDMtS,Fri Dec 02 16:29:46 +0000 2016,84,"[{'expanded_url': 'https://twitter.com/i/web/status/804724248434511873', 'url': 'https://t.co/epDYfVDMtS', 'indices': [112, 135], 'display_url': 'twitter.com/i/web/status/8…'}]",[],20,,
31570190,"RT @davidphotokc: #Chiefs P Dustin Colquitt thought the kick went wide. Cairo Santos saw it go through. #Chiefs win in OT over #Broncos, 30…",Mon Nov 28 06:00:11 +0000 2016,0,[],"[{'text': 'Chiefs', 'indices': [18, 25]}, {'text': 'Chiefs', 'indices': [104, 111]}, {'text': 'Broncos', 'indices': [127, 135]}]",1955,,
31570190,RT @CCTV_America: President-elect Donald Trump has chosen South Carolina Gov. Nikki Haley as U.S. ambassador to the United Nations. https:/…,Wed Nov 23 15:40:28 +0000 2016,0,[],[],2,,
31570190,RT @mpd: CRISPR Gene-Edited Cells Tested in Humans for the First Time - Medical News Bulletin https://t.co/TNdrQJuR5N,Tue Nov 22 06:52:49 +0000 2016,0,"[{'expanded_url': 'http://bit.ly/2g4pZqd', 'url': 'https://t.co/TNdrQJuR5N', 'indices': [94, 117], 'display_url': 'bit.ly/2g4pZqd'}]",[],3,,
31570190,RT @eorden: Take a break from reading about politics &amp; dive into this incredible story on Theranos's 26-year-old whistleblower: https://t.c…,Sun Nov 20 15:58:02 +0000 2016,0,[],[],65,,
31570190,California's call for a #Calexit @cctv_america https://t.co/YdpcWlwMYl,Sat Nov 19 21:27:12 +0000 2016,1,"[{'expanded_url': 'http://www.cctv-america.com/2016/11/18/california-calls-for-a-calexit-following-trump-win', 'url': 'https://t.co/YdpcWlwMYl', 'indices': [47, 70], 'display_url': 'cctv-america.com/2016/11/18/cal…'}]","[{'text': 'Calexit', 'indices': [24, 32]}]",0,,
31570190,RT @DaiIy80s: ☎️ https://t.co/mIhtUleuHm,Sat Nov 19 15:33:43 +0000 2016,0,[],[],940,,
31570190,"RT @SanJoseSharks: That @s4aofficial giveaway will be a real crowd pleaser. Get one on 11/25. #MannequinChallenge 

🎟: https://t.co/FCcR9Go…",Fri Nov 18 22:50:20 +0000 2016,0,[],"[{'text': 'MannequinChallenge', 'indices': [94, 113]}]",28,,
31570190,Tech startups re-calculate formula for work-life balance @edithyeung @NPMJS @cctv_america https://t.co/WqsrVt1BTB,Fri Nov 18 04:24:58 +0000 2016,4,"[{'expanded_url': 'http://www.cctv-america.com/2016/11/16/silicon-valley-start-ups-seek-optimal-work-life-balance', 'url': 'https://t.co/WqsrVt1BTB', 'indices': [90, 113], 'display_url': 'cctv-america.com/2016/11/16/sil…'}]",[],2,,
31570190,RT @medical_xpress: New gene-editing technology partially restores vision in blind animals https://t.co/N2EEEscLga @salkinstitute,Thu Nov 17 15:19:08 +0000 2016,0,"[{'expanded_url': 'http://medx.cc/398517311', 'url': 'https://t.co/N2EEEscLga', 'indices': [91, 114], 'display_url': 'medx.cc/398517311'}]",[],30,,
31570190,"RT @abc7newsbayarea: Newly elected #DonaldTrump has changed his tune on the #ElectoralCollege, calling it ""genius"" after his win. https://t…",Wed Nov 16 06:03:10 +0000 2016,0,[],"[{'text': 'DonaldTrump', 'indices': [35, 47]}, {'text': 'ElectoralCollege', 'indices': [76, 93]}]",16,,
31570190,"RT @politico: #BREAKING: Carson won't serve in Trump administration, aide says https://t.co/4zcu65TPDk https://t.co/sSwTOQBwrf",Tue Nov 15 16:50:22 +0000 2016,0,"[{'expanded_url': 'http://politi.co/2fCw1eB', 'url': 'https://t.co/4zcu65TPDk', 'indices': [79, 102], 'display_url': 'politi.co/2fCw1eB'}]","[{'text': 'BREAKING', 'indices': [14, 23]}]",142,,
31570190,RT @SiliconValTop: Peter Thiel Will Join Donald Trump's Transition Team https://t.co/uzzzoNY89v via @FortuneMagazine https://t.co/d7kzuyfGcl,Sat Nov 12 01:49:21 +0000 2016,0,"[{'expanded_url': 'http://gettopical.com/silicon-valley/5b6655d0886dcf499fc9bc362e4665e9?src=twitter', 'url': 'https://t.co/uzzzoNY89v', 'indices': [72, 95], 'display_url': 'gettopical.com/silicon-valley…'}]",[],1,,
31570190,"After heavy election donation, Silicon Valley reacts to Trump win @CCTV_America  https://t.co/Kh3vx9w2FD",Fri Nov 11 04:36:24 +0000 2016,0,"[{'expanded_url': 'http://www.cctv-america.com/2016/11/10/after-heavy-election-donation-silicon-valley-reacts-to-trump-win', 'url': 'https://t.co/Kh3vx9w2FD', 'indices': [81, 104], 'display_url': 'cctv-america.com/2016/11/10/aft…'}]",[],0,,
31570190,RT @DRUDGE_REPORT: Thiel Tech Whisperer... https://t.co/5krZuH2kVu,Thu Nov 10 21:41:06 +0000 2016,0,"[{'expanded_url': 'http://cnet.co/2eWJflD', 'url': 'https://t.co/5krZuH2kVu', 'indices': [43, 66], 'display_url': 'cnet.co/2eWJflD'}]",[],522,,
31570190,RT @Reuters: Senate's McConnell says Obamacare repeal high on agenda https://t.co/aJoptZvPpn,Wed Nov 09 20:17:10 +0000 2016,0,"[{'expanded_url': 'http://reut.rs/2fT0p8w', 'url': 'https://t.co/aJoptZvPpn', 'indices': [69, 92], 'display_url': 'reut.rs/2fT0p8w'}]",[],154,,
31570190,"RT @ABC: Pres. Obama on President-elect Trump: ""We are now all rooting for his success in uniting and leading the country."" https://t.co/ev…",Wed Nov 09 17:35:48 +0000 2016,0,[],[],297,,
31570190,Chief of Staff Scott Baio? Thinking Trump will want to put Charles in Charge,Wed Nov 09 16:12:33 +0000 2016,1,[],[],0,,
31570190,"RT @USATODAY: """"We, as a nation, should never, ever have another election like this one ... Kiss a Democrat. Go hug a Republican."" https://…",Wed Nov 09 14:58:21 +0000 2016,0,[],[],286,,
31570190,RT @businessinsider: Canada's immigration website just crashed https://t.co/8wvVfFjPlD https://t.co/eXazgsLX7E,Wed Nov 09 04:14:05 +0000 2016,0,"[{'expanded_url': 'http://read.bi/2ejZgFV', 'url': 'https://t.co/8wvVfFjPlD', 'indices': [63, 86], 'display_url': 'read.bi/2ejZgFV'}]",[],1602,,
31570190,"RT @FrankLuntz: The 2016 exit polls from 5 hours ago are, so far, the worst and least accurate we've ever seen.

#ElectionNight",Wed Nov 09 04:05:50 +0000 2016,0,[],"[{'text': 'ElectionNight', 'indices': [113, 127]}]",1844,,
31570190,RT @Reuters: Former President George W. Bush does not cast vote for president https://t.co/eIN37yoxIg https://t.co/P8Hy4xR5qi,Wed Nov 09 00:57:53 +0000 2016,0,"[{'expanded_url': 'http://reut.rs/2ejMSpy', 'url': 'https://t.co/eIN37yoxIg', 'indices': [78, 101], 'display_url': 'reut.rs/2ejMSpy'}]",[],252,,
31570190,RT @JessicaStoneTV: More of my interviews with young women on @HillaryClinton's historic run for the White House @CCTV_America https://t.co…,Wed Nov 09 00:56:43 +0000 2016,0,[],[],2,,
31570190,RT @Recode: GoPro is recalling its new Karma drones because they could fall out of the sky https://t.co/wr0cUTj1lV https://t.co/oDm6ABJDf9,Wed Nov 09 00:54:43 +0000 2016,0,"[{'expanded_url': 'http://www.recode.net/2016/11/8/13569788/gopro-recall-new-karma-drones-could-fall-out-of-sky?utm_campaign=recode.net&utm_content=chorus&utm_medium=social&utm_source=twitter', 'url': 'https://t.co/wr0cUTj1lV', 'indices': [91, 114], 'display_url': 'recode.net/2016/11/8/1356…'}]",[],13,,
31570190,"RT @SFGate: 1 dead, 3 injured in reported shooting near Calif. voting site https://t.co/v6jOdGoaTa https://t.co/cJv2lskJKn",Wed Nov 09 00:54:32 +0000 2016,0,"[{'expanded_url': 'http://dlvr.it/McwVZB', 'url': 'https://t.co/v6jOdGoaTa', 'indices': [75, 98], 'display_url': 'dlvr.it/McwVZB'}]",[],4,,
31570190,Citizens in San Francisco's Chinatown get out to vote @CCTV_America https://t.co/bed0FrfzPD,Tue Nov 08 18:31:10 +0000 2016,3,[],[],3,,
31570190,Young innovator develops tech as a solution to clean up oceans @CCTV_America  https://t.co/vLgxVZCJOR,Tue Nov 08 16:19:36 +0000 2016,2,"[{'expanded_url': 'http://www.cctv-america.com/2016/11/07/young-innovators-develops-tech-as-a-solution-to-clean-up-oceans', 'url': 'https://t.co/vLgxVZCJOR', 'indices': [78, 101], 'display_url': 'cctv-america.com/2016/11/07/you…'}]",[],2,,
31570190,RT @Forbes: Our latest cover story: this $4.5 billion startup is ushering in a new era of computing https://t.co/FkqaAqBxgV https://t.co/m0…,Fri Nov 04 04:10:54 +0000 2016,0,"[{'expanded_url': 'http://on.forbes.com/60198EbfF', 'url': 'https://t.co/FkqaAqBxgV', 'indices': [100, 123], 'display_url': 'on.forbes.com/60198EbfF'}]",[],271,,
31570190,RT @CCTV_America: Tech industry and real estate boom forces renters out of their homes https://t.co/VLjNNeQFFg https://t.co/6DZLJzRL7F,Sat Oct 29 13:44:17 +0000 2016,0,"[{'expanded_url': 'http://www.cctv-america.com/?p=438292', 'url': 'https://t.co/VLjNNeQFFg', 'indices': [87, 110], 'display_url': 'cctv-america.com/?p=438292'}]",[],2,,
31570190,@jimspellmanTV Any plans to revisit that diet? https://t.co/ZnP6SCMlpZ,Fri Oct 28 20:44:33 +0000 2016,0,"[{'expanded_url': 'https://twitter.com/techreview/status/792103600935755776', 'url': 'https://t.co/ZnP6SCMlpZ', 'indices': [47, 70], 'display_url': 'twitter.com/techreview/sta…'}]",[],0,jimspellmanTV,
31570190,"RT @RoboticsTrends: Comma.ai decides to cancel Comma One, their Tesla Autopilot-like system https://t.co/BXtu651XJQ https://t.co/lGjjwZU20y",Fri Oct 28 20:18:17 +0000 2016,0,"[{'expanded_url': 'http://bit.ly/2eDlVMq', 'url': 'https://t.co/BXtu651XJQ', 'indices': [92, 115], 'display_url': 'bit.ly/2eDlVMq'}]",[],1,,
31570190,"Apple, Microsoft compete for same market with new computers | CCTV America @bobodtech @reneritchie  https://t.co/5SvIyo4oGz",Fri Oct 28 04:18:44 +0000 2016,1,"[{'expanded_url': 'http://www.cctv-america.com/2016/10/27/apple-microsoft-compete-for-same-market-with-new-computers', 'url': 'https://t.co/5SvIyo4oGz', 'indices': [100, 123], 'display_url': 'cctv-america.com/2016/10/27/app…'}]",[],0,,
31570190,RT @SunhouseInc: Check out @ElmoLovano @MadameGandhi @Tlacael with #SensoryPercussion @SFmusictech https://t.co/8l1kB7ZRzP via  @MarkNiuWri…,Wed Oct 26 23:26:07 +0000 2016,0,"[{'expanded_url': 'https://youtu.be/hLniyay25Zs', 'url': 'https://t.co/8l1kB7ZRzP', 'indices': [99, 122], 'display_url': 'youtu.be/hLniyay25Zs'}]","[{'text': 'SensoryPercussion', 'indices': [67, 85]}]",2,,
31570190,Startups build better China-US tech relationships at Sync Conference | CCTV America @PingWest @Indiegogo  https://t.co/BkJPg6WX26,Tue Oct 25 16:58:07 +0000 2016,0,"[{'expanded_url': 'http://www.cctv-america.com/2016/10/24/startups-build-better-china-us-tech-relationships-at-sync-conference', 'url': 'https://t.co/BkJPg6WX26', 'indices': [106, 129], 'display_url': 'cctv-america.com/2016/10/24/sta…'}]",[],0,,
31570190,RT @kkat31: Entrepreneur @BarbaraCorcoran says @HillaryClinton win = better for small business #barbaracorcoran #Hillary2016 https://t.co/w…,Fri Oct 21 16:04:17 +0000 2016,0,[],"[{'text': 'barbaracorcoran', 'indices': [95, 111]}, {'text': 'Hillary2016', 'indices': [112, 124]}]",1,,
31570190,RT @CCTV_America: The UN is under fire for picking Wonder Woman to lead a girl empowerment campaign. https://t.co/LfAU2fel70 https://t.co/0…,Fri Oct 21 16:02:57 +0000 2016,0,"[{'expanded_url': 'http://www.cctv-america.com/?p=436452', 'url': 'https://t.co/LfAU2fel70', 'indices': [101, 124], 'display_url': 'cctv-america.com/?p=436452'}]",[],3,,
31570190,"Ag tech startup innovation, education bring farming into the future @CCTV_America  https://t.co/VTcuI2SVYC",Fri Oct 21 15:36:48 +0000 2016,0,"[{'expanded_url': 'http://www.cctv-america.com/2016/10/20/agriculture-technology-innovation-education-bring-farming-into-the-future', 'url': 'https://t.co/VTcuI2SVYC', 'indices': [83, 106], 'display_url': 'cctv-america.com/2016/10/20/agr…'}]",[],0,,
31570190,RT @CCTV_America: Chinese tech company LeEco expands into North America   https://t.co/1lB1sESi18 https://t.co/FS6Z0CT9AI,Thu Oct 20 03:05:16 +0000 2016,0,"[{'expanded_url': 'http://www.cctv-america.com/?p=436713', 'url': 'https://t.co/1lB1sESi18', 'indices': [74, 97], 'display_url': 'cctv-america.com/?p=436713'}]",[],1,,
