823957466,RT @haldaume3: new #nlproc/#machinelearning blog post on Should the NLP and ML Communities have a Code of Ethics? (https://t.co/Ryxymii4up)…,Mon Dec 12 23:05:54 +0000 2016,0,"[{'expanded_url': 'http://nlpers.blogspot.com/2016/12/should-nlp-and-ml-communities-have-code.html', 'url': 'https://t.co/Ryxymii4up', 'indices': [115, 138], 'display_url': 'nlpers.blogspot.com/2016/12/should…'}]","[{'text': 'nlproc', 'indices': [19, 26]}, {'text': 'machinelearning', 'indices': [27, 43]}]",21,,
823957466,"@MichelValstar Turns out there was a misunderstanding: he was talking about the movements involved in controlling the car, not navigation.",Mon Dec 12 16:58:14 +0000 2016,0,[],[],0,MichelValstar,808255750426468352
823957466,RT @PaulMineiro: Machined Learnings: NIPS 2016 Reflections #NIPS2016 https://t.co/e9JW6qAqeo,Mon Dec 12 16:55:25 +0000 2016,0,"[{'expanded_url': 'http://www.machinedlearnings.com/2016/12/nips-2016-reflections.html?spref=tw', 'url': 'https://t.co/e9JW6qAqeo', 'indices': [69, 92], 'display_url': 'machinedlearnings.com/2016/12/nips-2…'}]","[{'text': 'NIPS2016', 'indices': [59, 68]}]",38,,
823957466,Ryan Adams will be giving a tribute to David MacKay (our PhD advisor) at 1:30pm in the #NIPS2016 Bayesian deep learning workshop (Area 1).,Sat Dec 10 12:12:58 +0000 2016,37,[],"[{'text': 'NIPS2016', 'indices': [87, 96]}]",14,,
823957466,Super excited for today's #NIPS2016 workshop on Bayesian deep learning!!! https://t.co/i7Rn1cl0Ps,Sat Dec 10 10:05:15 +0000 2016,47,"[{'expanded_url': 'http://bayesiandeeplearning.org/', 'url': 'https://t.co/i7Rn1cl0Ps', 'indices': [74, 97], 'display_url': 'bayesiandeeplearning.org'}]","[{'text': 'NIPS2016', 'indices': [26, 35]}]",8,,
823957466,"RT @xtimv: For decades, I refused to say 'LOL' then I wrote a 12-page paper on an alg. called 'LOLS'. Thanks a lot, @haldaume3!
https://t.c…",Thu Dec 08 23:16:33 +0000 2016,0,[],[],3,,
823957466,@TheAshenLight @jackclarkSF @gosainnn @drfeifei That I believe.,Thu Dec 08 23:16:16 +0000 2016,2,[],[],0,TheAshenLight,806997363239899136
823957466,"RT @cazencott: Deirdre Mulligan: if we're going to rely on ML for making decisions, then we need everyone to understand what ML is. #mlandt…",Thu Dec 08 19:37:39 +0000 2016,0,[],[],6,,
823957466,@jackclarkSF @gosainnn @drfeifei The gender breakdown in the sponsor rooms is noticeably different to the rest of the conference.,Thu Dec 08 18:43:29 +0000 2016,5,[],[],0,hannawallach,806931697853988864
823957466,@jackclarkSF @gosainnn @drfeifei TBH its not clear to me that the increase is due to researchers vs. recruiters at industry booths.,Thu Dec 08 18:41:23 +0000 2016,19,[],[],0,jackclarkSF,806920159008952320
823957466,"RT @ledell: Interested in #MachineLearning's relationship to law?  Here are 11 papers from the #nips2016 ""ML &amp; Law"" workshop at https://t.c…",Thu Dec 08 18:39:02 +0000 2016,0,[],"[{'text': 'MachineLearning', 'indices': [26, 42]}, {'text': 'nips2016', 'indices': [95, 104]}]",12,,
823957466,"RT @kmkinnaird: Have you seen @jennwvaughan's awesome #NIPS2016 tutorial materials? Check them out here: https://t.co/JkYV892Y8H

#WiML2016…",Thu Dec 08 16:36:10 +0000 2016,0,"[{'expanded_url': 'http://www.jennwv.com/projects/crowdtutorial.html', 'url': 'https://t.co/JkYV892Y8H', 'indices': [105, 128], 'display_url': 'jennwv.com/projects/crowd…'}]","[{'text': 'NIPS2016', 'indices': [54, 63]}, {'text': 'WiML2016', 'indices': [130, 139]}]",14,,
823957466,"RT @WiMLworkshop: .@jennwvaughan gave an awesome #NIPS2016 tutorial on crowdsourcing. Check out her materials: https://t.co/NGUjz9khBW

#Wi…",Thu Dec 08 16:36:01 +0000 2016,0,"[{'expanded_url': 'http://www.jennwv.com/projects/crowdtutorial.html', 'url': 'https://t.co/NGUjz9khBW', 'indices': [111, 134], 'display_url': 'jennwv.com/projects/crowd…'}]","[{'text': 'NIPS2016', 'indices': [49, 58]}]",13,,
823957466,@drewconway @ylecun Me too.,Thu Dec 08 14:46:00 +0000 2016,2,[],[],0,drewconway,806872069950599168
823957466,"RT @xtimv: NIPS workshop on ""ML for bouldering problems,"" 6:45-11p tomorrow (12/9) at Chris Sharma's gym -&gt; a 15-min walk from #nips2016 ve…",Thu Dec 08 14:41:32 +0000 2016,0,[],"[{'text': 'nips2016', 'indices': [130, 139]}]",6,,
823957466,😮 https://t.co/UyNcOuMKRV,Thu Dec 08 14:39:53 +0000 2016,16,"[{'expanded_url': 'https://twitter.com/UnderdogGeek/status/806868854047670272', 'url': 'https://t.co/UyNcOuMKRV', 'indices': [2, 25], 'display_url': 'twitter.com/UnderdogGeek/s…'}]",[],11,,
823957466,RT @ianrkerr: @UCBerkeley #iSchool superstar Deirdre Mulligan schools ML experts on legal issues w voting history #nips2016 https://t.co/iu…,Thu Dec 08 14:38:43 +0000 2016,0,[],"[{'text': 'iSchool', 'indices': [26, 34]}, {'text': 'nips2016', 'indices': [114, 123]}]",2,,
823957466,@SciBry Also important to keep in mind when *reading* recommendation letters.,Thu Dec 08 14:31:46 +0000 2016,0,[],[],0,SciBry,788160313044631552
823957466,RT @SciBry: It's that time of year. How to avoid gender bias when writing recommendation letters. https://t.co/WQTgVu9NRC,Thu Dec 08 14:27:15 +0000 2016,0,[],[],1408,,
823957466,RT @jennwvaughan: At #nips2016? Come to #crowdml Friday morning at 9am to see my talk on the communication network within the crowd. https:…,Thu Dec 08 13:54:53 +0000 2016,0,[],"[{'text': 'nips2016', 'indices': [21, 30]}, {'text': 'crowdml', 'indices': [40, 48]}]",4,,
823957466,RT @lawrennd: #nips2016 During the coffee break Recurrent Neural Nets and Law symposia will swap rooms! Please retweet.,Thu Dec 08 13:36:58 +0000 2016,0,[],"[{'text': 'nips2016', 'indices': [14, 23]}]",40,,
823957466,RT @__hylandSL: 'prediction is not knowledge' from @ianrkerr's talk at ML and the Law at #nips2016,Thu Dec 08 13:36:31 +0000 2016,0,[],"[{'text': 'nips2016', 'indices': [89, 98]}]",4,,
823957466,#NIPS2016 symposium on ML and the Law is gonna be awesome!!!!! #FATML https://t.co/IKLPeVtnxv,Thu Dec 08 13:06:55 +0000 2016,16,[],"[{'text': 'NIPS2016', 'indices': [0, 9]}, {'text': 'FATML', 'indices': [63, 69]}]",3,,
823957466,@TheShubhanshu @AaronSchein Yup! https://t.co/Nyt5sKWWx4,Thu Dec 08 10:48:40 +0000 2016,2,"[{'expanded_url': 'https://github.com/aschein/pgds', 'url': 'https://t.co/Nyt5sKWWx4', 'indices': [33, 56], 'display_url': 'github.com/aschein/pgds'}]",[],0,TheShubhanshu,806501239487922176
823957466,".@_beenkim is talking about interpretability, prototypes, and OMG KITTENS!!!!! #NIPS2016 https://t.co/M0ZLhdT4dv",Thu Dec 08 10:44:24 +0000 2016,14,[],"[{'text': 'NIPS2016', 'indices': [79, 88]}]",5,,
823957466,RT @_ajbc: @AaronSchein may have just delivered my favorite talk of #NIPS2016.  Check out Poisson-Gamma Dynamical Systems with @hannawallac…,Wed Dec 07 10:35:55 +0000 2016,0,[],"[{'text': 'NIPS2016', 'indices': [68, 77]}]",2,,
823957466,RT @d1ca1: Aaron's #NIPS2016 talk on poisson gamma dynamical systems is so good!! @AaronSchein @hannawallach https://t.co/A1KrleU1t9,Wed Dec 07 10:35:22 +0000 2016,0,[],"[{'text': 'NIPS2016', 'indices': [19, 28]}]",1,,
